Procedure,Code
Blood C&S,90.53
Urine C&S,91.33
Sputum C&S,90.43
Urine FEME,91.39
Urine Biochemistry,89.29
ABG,89.65
FBP,90.59
X-rays,
CXR,87.44
AXR (abdomen),88.19
Xray KUB,87.79
Xray Spine,87.29
Xray Pelvis,88.26
CT Brain,87.03
CT Thorax,87.41
MRI Brain,88.91
CT Abdomen,88.01
USG KUB,88.75
USG Abdomen,88.76
USB HBS,88.74
Chest tube insertion,34.04
Removal of chest tube,97.41
Pleural tapping,34.91
Nebulizer,93.94
Oxygen therapy,93.96
Intubation,96.04
Non-invasive ventilation(bipap/cpap),93.9
Mechanical intubation/ventilation - < 96 hours,96.71
Mechanical intubation/ventilation - >/= 96 hours,96.72
#NAME?,96.7
Incentive spirometry,89.37
Pleurodesis,34.92
Central venous line insertion,38.93
Cardioversion of cardiac rhythm,99.62
Cardiopulmonary Resuscitation (CPR),99.6
Defibrillation,99.62
Pericardiocentesis,37
Transfusion of whole blood,99.03
Transfusion of packed cells,99.04
Transfusion of platelet,99.05
Transfusion of coagulation factors,99.06
Transfusion of plasma,99.07
Closed bladder drainage (CBD),57.94
Removal of CBD,97.64
Bladder irrigation,96.48
Hemodialysis,39.95
Suprapubic catheterization (SPC),57.18
Peritoneal tapping,54.91
Nephrostomy,55.02
Percutaneous needle biopsy of kidney,55.23
Percutaneous drainage (renal abscess),59.8
Percutaneous lithotomy (kidney),55.03
Percutaneous needle biopsy (liver),50.11
Percutaneous abdominal drainage,54.91
Percutaneous cholecystostomy,51.01
TRUS biopsy of prostate,60.11
Pigtail/other drainage catheter (pleural),34.04
Dressing (ulcer),93.56
Simple dressing (wound),93.57
Chemotherapy,99.25
Iv Drip/electrolytes,99.18
Injection of insulin,99.17
Injection of anticoagulant,99.19
Injection of antibiotic,99.21
Injection of steroid,99.23
Total parenteral nutrition,99.15
Insertion of Ryle??s tube,96.07
Replacement of nasogastric tube,97.01
Ryle??s tube feeding,96.6
Ravin enema,96.39
OGDS,45.13
OGDS with biopsy,45.16
OGDS with banding,42.33
ERCP,51.1
